rarity,name,description,cat_id
Uber Super Rare,Blanka,Super speed with brutal damage! Omnistrikes deliver massive damage vs Aliens and annihilate Barriers!,515
Uber Super Rare,Dhalsim,Perfectly balanced for superior fighting power. Area attacks have 100% chance to inflict Weaken on Traitless.,516
Uber Super Rare,Ken,"Toughest of the tough, with fast feet to close down baddies! Strong vs Red, Floating & Angels, with Omnistrikes that Knockback enemies!",517
Uber Super Rare,E. Honda,"Fast movement speed and mighty defense! Extra-tough versus Angels, with Area attacks that Knockback!",571
Uber Super Rare,Sagat,"A hero with rapid, high-powered Area attacks! Massive damage to Floating enemies, while getting stronger after taking damage!",574
Uber Super Rare,M. Bison,"Hero able to attack enemies in a wide Omnistrike area! Strong vs. Floating, Alien and Zombie enemies. Able to break Alien Barriers and stop Zombie enemies from reviving",575
Uber Super Rare,Luke,"A speedy hero striking with rapid Area attacks! Strong vs any enemy with a Trait. Small chance to deliver a Savage Blow, with Shield Piercing.",681
Uber Super Rare,Juri,A long-range attacker that deals increased damage to Colossi while taking less damage from them. Deals increased damage to Behemoths while taking less damage from them and also may dodge their attacks. Strong against Floating and Angels with a 100% chance to Freeze/Slow them. Immune to Waves.,827
Legend Rare,Akuma,High-frequency long-range attacks! Insane area damage to Traitless enemies.,510
Super Rare,C. Honda,A rapid-fire Area attacker with might defense to boot! Extra tough versus Angel enemies.,576
Super Rare,Zangief Cat,Hero combining both powerful attacks and sturdy defense. Deals Massive damage to Floating with area attacks that have a chance to deal a Savage Blow.,828
Super Rare,Jamie Cat,"Long-range attack specialist with sturdy defense. Strong against Aku. Immune to Surge damage, with attack power strengthened as they take damage.",829
Rare,Balrog Cat,Cost-effective hero with a long attack range! Strong versus Black enemies.,577
Rare,Vega Cat,"Cost-effective hero with powerful attacks. Strong vs. Angel enemies, with immunity to Toxic!",578
Rare,Sagat Cat,"Cost-effective hero with rapid-fire attacks! Strong vs. Floating, with immunity to Wave damage!",579
Rare,M. Bison Cat,"A long-distance Area attack specialist hero! Tough vs. Aliens, with a small chance to break enemy Barriers.",580
