No,Result,Guaranteed
1A,Bath Cat,Zangief
1B,Mer-Cat,Vega
2A,Matador Cat,Balrog
2B,Rover Cat,Zangief
3A,Sushi Cat,Zangief
3B,Salon Cat,Vega
4A,Psychocat,Zangief
4B,Pirate Cat,Ryu
5A,Bath Cat,Vega
5B,Viking Cat,Vega
6A,Mer-Cat,Guile
6B,Gardener Cat,Guile
7A,Guile,Chun-Li
7B,Swordsman Cat,Ryu
8A,Zangief Cat,Chun-Li
8B,Welterweight Cat,Chun-Li
9A,Pogo Cat,Cammy
9B,Surfer Cat,Sakura
10A,Onmyoji Cat,Balrog
10B,Figure Skating Cats,Chun-Li
11A,Swimmer Cat,Cammy
11B,Balrog,Zangief
12A,Stilts Cat,Balrog
12B,Zangief,Cammy
13A,Delinquent Cat,Zangief
13B,Pirate Cat,Chun-Li
14A,Welterweight Cat,Balrog
14B,M. Bison Cat,Chun-Li
15A,Balrog Cat,Chun-Li
15B,Salon Cat,Balrog
16A,Apple Cat,Ryu
16B,Swimmer Cat,Chun-Li
17A,Thief Cat,Vega
17B,Surfer Cat,Zangief
18A,Delinquent Cat,Sakura
18B,Fortune Teller Cat,Balrog
19A,Vega Cat,Ryu
19B,Welterweight Cat,Sakura
20A,Stilts Cat,Guile
20B,Stilts Cat,Guile
21A,Sagat Cat,Balrog
21B,Cat Toaster,Guile
22A,Cammy,Zangief
22B,Wheel Cat,Vega
23A,Pirate Cat,Cammy
23B,Sushi Cat,Cammy
24A,Juliet Cat,Zangief
24B,Gardener Cat,Cammy
25A,Vega Cat,Ryu
25B,Rover Cat,Vega
26A,Witch Cat,Guile
26B,Salon Cat,Chun-Li
27A,Gardener Cat,Zangief
27B,Archer Cat,Chun-Li
28A,Cat Toaster,Sakura
28B,Ryu,Guile
29A,Jurassic Cat,Vega
29B,Viking Cat,Guile
30A,Weightlifter Cat,Sakura
30B,Balrog,Ryu
31A,Rocker Cat,Ryu
31B,Kotatsu Cat,Cammy
32A,Bishop Cat,Guile
32B,Matador Cat,Ryu
33A,Fortune Teller Cat,Guile
33B,Fencer Cat,Cammy
34A,Pirate Cat,Guile
34B,Nerd Cat,Ryu
35A,Thief Cat,Cammy
35B,Balrog Cat,Ryu
36A,Archer Cat,Cammy
36B,Bath Cat,Cammy
37A,Balrog Cat,Cammy
37B,Weightlifter Cat,Sakura
38A,Weightlifter Cat,Chun-Li
38B,Mer-Cat,Sakura
39A,Hip Hop Cat,Balrog
39B,Fortune Teller Cat,Vega
40A,Jurassic Cat,Sakura
40B,Welterweight Cat,Ryu
41A,Onmyoji Cat,Sakura
41B,Bishop Cat,Chun-Li
42A,Pogo Cat,Sakura
42B,Salon Cat,Vega
43A,Jurassic Cat,Balrog
43B,Vaulter Cat,Balrog
44A,Stilts Cat,Guile
44B,Jurassic Cat,Balrog
45A,Witch Cat,Ryu
45B,Onmyoji Cat,Ryu
46A,Swordsman Cat,Chun-Li
46B,Tin Cat,Zangief
47A,Rocker Cat,Guile
47B,Salon Cat,Sakura
48A,Jamie Cat,Guile
48B,Wheel Cat,Zangief
49A,Vega,Sakura
49B,Vaulter Cat,Vega
50A,Thief Cat,Chun-Li
50B,Balrog Cat,Zangief
51A,Juliet Cat,Vega
51B,Rocker Cat,Sakura
52A,Tin Cat,Vega
52B,Bodhisattva Cat,Guile
53A,Nymph Cat,Chun-Li
53B,Hip Hop Cat,Chun-Li
54A,Onmyoji Cat,Guile
54B,Cat Toaster,Vega
55A,Nymph Cat,Chun-Li
55B,Swordsman Cat,Balrog
56A,Pirate Cat,Zangief
56B,Hip Hop Cat,Zangief
57A,Vaulter Cat,Cammy
57B,Guile,Vega
58A,Figure Skating Cats,Cammy
58B,M. Bison Cat,Chun-Li
59A,Wushu Cat,Guile
59B,Gardener Cat,Guile
60A,Psychocat,Balrog
60B,M. Bison Cat,Ryu
61A,Wushu Cat,Chun-Li
61B,Swimmer Cat,Cammy
62A,Cat Gunslinger,Guile
62B,Tin Cat,Guile
63A,Shaman Cat,Ryu
63B,Fortune Teller Cat,Ryu
64A,Swordsman Cat,Vega
64B,Cat Gunslinger,Vega
65A,Balrog,Cammy
65B,Pogo Cat,Cammy
66A,Tin Cat,Chun-Li
66B,Fencer Cat,Chun-Li
67A,Juliet Cat,Vega
67B,Pirate Cat,Vega
68A,Archer Cat,Chun-Li
68B,Gardener Cat,Chun-Li
69A,Balrog Cat,Balrog
69B,Tin Cat,Balrog
70A,Tin Cat,Chun-Li
70B,Surfer Cat,Chun-Li
71A,Tin Cat,Cammy
71B,Psychocat🐾 -> 72,Zangief
DUPLICATE TRACK SWITCH,Wushu Cat,Zangief
72A,Pirate Cat,Guile
72B,Gardener Cat,Vega
73A,Vega Cat,Balrog
73B,Archer Cat,Ryu
74A,Balrog Cat,Zangief
74B,Mer-Cat,Sakura
75A,Bishop Cat,Cammy
75B,Bishop Cat,Balrog
76A,Gardener Cat,Chun-Li
76B,Fortune Teller Cat,Ryu
77A,Rover Cat,Guile
77B,Mer-Cat,Sakura
78A,Tin Cat,Sakura
78B,Wushu Cat,Vega
79A,Thief Cat,Zangief
79B,Guile,Cammy
80A,C. Honda,Vega
80B,Rover Cat,Vega
81A,Salon Cat,Vega
81B,Pogo Cat,Cammy
82A,Thief Cat,Cammy
82B,Pirate Cat,Chun-Li
83A,Fortune Teller Cat,Sakura
83B,Tin Cat,Sakura
84A,Archer Cat,Ryu
84B,Rocker Cat,Zangief
85A,Rover Cat,Guile
85B,Surfer Cat,Sakura
86A,Archer Cat,Guile
86B,Tin Cat,Zangief
87A,Rocker Cat,Ryu
87B,Swordsman Cat,Guile
88A,Pogo Cat,Cammy
88B,Zangief Cat,Zangief
89A,Kotatsu Cat,Zangief
89B,Vega,Sakura
90A,M. Bison Cat,Zangief
90B,Onmyoji Cat,Balrog
91A,Fencer Cat,Guile
91B,Figure Skating Cats,Chun-Li
92A,Psychocat,Balrog
92B,Hip Hop Cat,Ryu
93A,Apple Cat,Sakura
93B,Akuma,Chun-Li
94A,Matador Cat,Guile
94B,Gardener Cat,Chun-Li
95A,Salon Cat,Balrog
95B,Guile,Ryu
96A,Cat Gunslinger,Zangief
96B,Gardener Cat,Vega
97A,Wheel Cat,Balrog
97B,Viking Cat,Ryu
98A,Gardener Cat,Balrog
98B,Wheel Cat,Cammy
99A,Witch Cat,Balrog
99B,Balrog Cat,Balrog
100A,Bishop Cat,Cammy
100B,Welterweight Cat,Sakura
101A,Archer Cat,Cammy
101B,Archer Cat,Ryu
102A,Stilts Cat,Vega
102B,Vaulter Cat,Cammy
103A,C. Honda,Cammy
103B,Cat Gunslinger,Cammy
104A,Pogo Cat,Ryu
104B,Tin Cat,Vega
105A,Cat Toaster,Zangief
105B,Gardener Cat,Ryu
106A,Cat Gunslinger,Guile
106B,Pogo Cat,Balrog
107A,Onmyoji Cat,Zangief
107B,Nerd Cat,Zangief
108A,Cammy,Ryu
108B,Bodhisattva Cat,Vega
109A,Mer-Cat,Vega
109B,Figure Skating Cats,Cammy
110A,Welterweight Cat,Zangief
110B,M. Bison Cat,Guile
111A,Wheel Cat,Cammy
111B,Vega,Vega
112A,Viking Cat,Balrog
112B,Fencer Cat,Sakura
113A,Onmyoji Cat,Cammy
113B,Shaman Cat,Ryu
114A,Juliet Cat,Vega
114B,Kotatsu Cat,Guile
115A,Ryu,Ryu
115B,Jamie Cat,Vega
116A,Swordsman Cat,Balrog
116B,Wheel Cat,Ryu
117A,Viking Cat,Zangief
117B,Rocker Cat,Vega
118A,Vega Cat,Sakura
118B,Vega Cat,Cammy
119A,Sagat Cat,Balrog
119B,,
