No,Result,Guaranteed
1A,Bath Cat,E. Honda
1B,Mer-Cat,M. Bison
2A,Matador Cat,Sagat
2B,Rover Cat,E. Honda
3A,Sushi Cat,E. Honda
3B,Salon Cat,M. Bison
4A,Psychocat,E. Honda
4B,Pirate Cat,Blanka
5A,Bath Cat,M. Bison
5B,Viking Cat,M. Bison
6A,Mer-Cat,Ken
6B,Gardener Cat,Ken
7A,Ken,Dhalsim
7B,Swordsman Cat,Blanka
8A,Zangief Cat,Dhalsim
8B,Welterweight Cat,Dhalsim
9A,Pogo Cat,Juri
9B,Surfer Cat,Luke
10A,Onmyoji Cat,Sagat
10B,Figure Skating Cats,Dhalsim
11A,Swimmer Cat,Juri
11B,Sagat,E. Honda
12A,Stilts Cat,Sagat
12B,E. Honda,Juri
13A,Delinquent Cat,E. Honda
13B,Pirate Cat,Dhalsim
14A,Welterweight Cat,Sagat
14B,M. Bison Cat,Dhalsim
15A,Balrog Cat,Dhalsim
15B,Salon Cat,Sagat
16A,Apple Cat,Blanka
16B,Swimmer Cat,Dhalsim
17A,Thief Cat,M. Bison
17B,Surfer Cat,E. Honda
18A,Delinquent Cat,Luke
18B,Fortune Teller Cat,Sagat
19A,Vega Cat,Blanka
19B,Welterweight Cat,Luke
20A,Stilts Cat,Ken
20B,Stilts Cat,Ken
21A,Sagat Cat,Sagat
21B,Cat Toaster,Ken
22A,Juri,E. Honda
22B,Wheel Cat,M. Bison
23A,Pirate Cat,Juri
23B,Sushi Cat,Juri
24A,Juliet Cat,E. Honda
24B,Gardener Cat,Juri
25A,Vega Cat,Blanka
25B,Rover Cat,M. Bison
26A,Witch Cat,Ken
26B,Salon Cat,Dhalsim
27A,Gardener Cat,E. Honda
27B,Archer Cat,Dhalsim
28A,Cat Toaster,Luke
28B,Blanka,Ken
29A,Jurassic Cat,M. Bison
29B,Viking Cat,Ken
30A,Weightlifter Cat,Luke
30B,Sagat,Blanka
31A,Rocker Cat,Blanka
31B,Kotatsu Cat,Juri
32A,Bishop Cat,Ken
32B,Matador Cat,Blanka
33A,Fortune Teller Cat,Ken
33B,Fencer Cat,Juri
34A,Pirate Cat,Ken
34B,Nerd Cat,Blanka
35A,Thief Cat,Juri
35B,Balrog Cat,Blanka
36A,Archer Cat,Juri
36B,Bath Cat,Juri
37A,Balrog Cat,Juri
37B,Weightlifter Cat,Luke
38A,Weightlifter Cat,Dhalsim
38B,Mer-Cat,Luke
39A,Hip Hop Cat,Sagat
39B,Fortune Teller Cat,M. Bison
40A,Jurassic Cat,Luke
40B,Welterweight Cat,Blanka
41A,Onmyoji Cat,Luke
41B,Bishop Cat,Dhalsim
42A,Pogo Cat,Luke
42B,Salon Cat,M. Bison
43A,Jurassic Cat,Sagat
43B,Vaulter Cat,Sagat
44A,Stilts Cat,Ken
44B,Jurassic Cat,Sagat
45A,Witch Cat,Blanka
45B,Onmyoji Cat,Blanka
46A,Swordsman Cat,Dhalsim
46B,Tin Cat,E. Honda
47A,Rocker Cat,Ken
47B,Salon Cat,Luke
48A,Jamie Cat,Ken
48B,Wheel Cat,E. Honda
49A,M. Bison,Luke
49B,Vaulter Cat,M. Bison
50A,Thief Cat,Dhalsim
50B,Balrog Cat,E. Honda
51A,Juliet Cat,M. Bison
51B,Rocker Cat,Luke
52A,Tin Cat,M. Bison
52B,Bodhisattva Cat,Ken
53A,Nymph Cat,Dhalsim
53B,Hip Hop Cat,Dhalsim
54A,Onmyoji Cat,Ken
54B,Cat Toaster,M. Bison
55A,Nymph Cat,Dhalsim
55B,Swordsman Cat,Sagat
56A,Pirate Cat,E. Honda
56B,Hip Hop Cat,E. Honda
57A,Vaulter Cat,Juri
57B,Ken,M. Bison
58A,Figure Skating Cats,Juri
58B,M. Bison Cat,Dhalsim
59A,Wushu Cat,Ken
59B,Gardener Cat,Ken
60A,Psychocat,Sagat
60B,M. Bison Cat,Blanka
61A,Wushu Cat,Dhalsim
61B,Swimmer Cat,Juri
62A,Cat Gunslinger,Ken
62B,Tin Cat,Ken
63A,Shaman Cat,Blanka
63B,Fortune Teller Cat,Blanka
64A,Swordsman Cat,M. Bison
64B,Cat Gunslinger,M. Bison
65A,Sagat,Juri
65B,Pogo Cat,Juri
66A,Tin Cat,Dhalsim
66B,Fencer Cat,Dhalsim
67A,Juliet Cat,M. Bison
67B,Pirate Cat,M. Bison
68A,Archer Cat,Dhalsim
68B,Gardener Cat,Dhalsim
69A,Balrog Cat,Sagat
69B,Tin Cat,Sagat
70A,Tin Cat,Dhalsim
70B,Surfer Cat,Dhalsim
71A,Tin Cat,Juri
71B,Psychocat🐾 -> 72,E. Honda
DUPLICATE TRACK SWITCH,Wushu Cat,E. Honda
72A,Pirate Cat,Ken
72B,Gardener Cat,M. Bison
73A,Vega Cat,Sagat
73B,Archer Cat,Blanka
74A,Balrog Cat,E. Honda
74B,Mer-Cat,Luke
75A,Bishop Cat,Juri
75B,Bishop Cat,Sagat
76A,Gardener Cat,Dhalsim
76B,Fortune Teller Cat,Blanka
77A,Rover Cat,Ken
77B,Mer-Cat,Luke
78A,Tin Cat,Luke
78B,Wushu Cat,M. Bison
79A,Thief Cat,E. Honda
79B,Ken,Juri
80A,C. Honda,M. Bison
80B,Rover Cat,M. Bison
81A,Salon Cat,M. Bison
81B,Pogo Cat,Juri
82A,Thief Cat,Juri
82B,Pirate Cat,Dhalsim
83A,Fortune Teller Cat,Luke
83B,Tin Cat,Luke
84A,Archer Cat,Blanka
84B,Rocker Cat,E. Honda
85A,Rover Cat,Ken
85B,Surfer Cat,Luke
86A,Archer Cat,Ken
86B,Tin Cat,E. Honda
87A,Rocker Cat,Blanka
87B,Swordsman Cat,Ken
88A,Pogo Cat,Juri
88B,Zangief Cat,E. Honda
89A,Kotatsu Cat,E. Honda
89B,M. Bison,Luke
90A,M. Bison Cat,E. Honda
90B,Onmyoji Cat,Sagat
91A,Fencer Cat,Ken
91B,Figure Skating Cats,Dhalsim
92A,Psychocat,Sagat
92B,Hip Hop Cat,Blanka
