No.,Result,Guaranteed,Alt. result,Alt. guaranteed,Alt. No.,,No.,Result,Guaranteed,Alt. result,Alt. guaranteed,Alt. No.
1A,,,,,,,1A,,,,,
,Bath Cat🐾,Zangief🐾 -> 11B,,,1B,,,Bath Cat🐾,E. Honda🐾 -> 11B,,,1B
2A,,,Mer-Cat🐾,<- 12A Vega🐾,,,2A,,,Mer-Cat🐾,<- 12A M. Bison🐾,
,Matador Cat🐾,Balrog🐾 -> 12B,,,2B,,,Matador Cat🐾,Sagat🐾 -> 12B,,,2B
3A,,,Rover Cat🐾,<- 13A Zangief🐾,,,3A,,,Rover Cat🐾,<- 13A E. Honda🐾,
,Sushi Cat🐾,Zangief🐾 -> 13B,,,3B,,,Sushi Cat🐾,E. Honda🐾 -> 13B,,,3B
4A,,,Salon Cat🐾,<- 14A Vega🐾,,,4A,,,Salon Cat🐾,<- 14A M. Bison🐾,
,Psychocat🐾,Zangief🐾 -> 14B,,,4B,,,Psychocat🐾,E. Honda🐾 -> 14B,,,4B
5A,,,Pirate Cat🐾,<- 15A Ryu🐾,,,5A,,,Pirate Cat🐾,<- 15A Blanka🐾,
,Bath Cat🐾,Vega🐾 -> 15B,,,5B,,,Bath Cat🐾,M. Bison🐾 -> 15B,,,5B
6A,,,Viking Cat🐾,<- 16A Vega🐾,,,6A,,,Viking Cat🐾,<- 16A M. Bison🐾,
,Mer-Cat🐾,Guile🐾 -> 16B,,,6B,,,Mer-Cat🐾,Ken🐾 -> 16B,,,6B
7A,,,Gardener Cat🐾,<- 17A Guile🐾,,,7A,,,Gardener Cat🐾,<- 17A Ken🐾,
,Guile🐾,Chun-Li🐾 -> 17B,,,7B,,,Ken🐾,Dhalsim🐾 -> 17B,,,7B
8A,,,Swordsman Cat🐾,<- 18A Ryu🐾,,,8A,,,Swordsman Cat🐾,<- 18A Blanka🐾,
,Zangief Cat🐾,Chun-Li🐾 -> 18B,,,8B,,,Zangief Cat🐾,Dhalsim🐾 -> 18B,,,8B
9A,,,Welterweight Cat🐾,<- 19A Chun-Li🐾,,,9A,,,Welterweight Cat🐾,<- 19A Dhalsim🐾,
,Pogo Cat🐾,Cammy🐾 -> 19B,,,9B,,,Pogo Cat🐾,Juri🐾 -> 19B,,,9B
10A,,,Surfer Cat🐾,<- 20A Sakura🐾,,,10A,,,Surfer Cat🐾,<- 20A Luke🐾,
,Onmyoji Cat🐾,Balrog🐾 -> 20B,,,10B,,,Onmyoji Cat🐾,Sagat🐾 -> 20B,,,10B
11A,,,Figure Skating Cats🐾,<- 21A Chun-Li🐾,,,11A,,,Figure Skating Cats🐾,<- 21A Dhalsim🐾,
,Swimmer Cat🐾,Cammy🐾 -> 21B,,,11B,,,Swimmer Cat🐾,Juri🐾 -> 21B,,,11B
12A,,,Balrog🐾,<- 22A Zangief🐾,,,12A,,,Sagat🐾,<- 22A E. Honda🐾,
,Stilts Cat🐾,Balrog🐾 -> 22B,,,12B,,,Stilts Cat🐾,Sagat🐾 -> 22B,,,12B
13A,,,Zangief🐾,<- 23A Cammy🐾,,,13A,,,E. Honda🐾,<- 23A Juri🐾,
,Delinquent Cat🐾,Zangief🐾 -> 23B,,,13B,,,Delinquent Cat🐾,E. Honda🐾 -> 23B,,,13B
14A,,,Pirate Cat🐾,<- 24A Chun-Li🐾,,,14A,,,Pirate Cat🐾,<- 24A Dhalsim🐾,
,Welterweight Cat🐾,Balrog🐾 -> 24B,,,14B,,,Welterweight Cat🐾,Sagat🐾 -> 24B,,,14B
15A,,,M. Bison Cat🐾,<- 25A Chun-Li🐾,,,15A,,,M. Bison Cat🐾,<- 25A Dhalsim🐾,
,Balrog Cat🐾,Chun-Li🐾 -> 25B,,,15B,,,Balrog Cat🐾,Dhalsim🐾 -> 25B,,,15B
16A,,,Salon Cat🐾,<- 26A Balrog🐾,,,16A,,,Salon Cat🐾,<- 26A Sagat🐾,
,Apple Cat🐾,Ryu🐾 -> 26B,,,16B,,,Apple Cat🐾,Blanka🐾 -> 26B,,,16B
17A,,,Swimmer Cat🐾,<- 27A Chun-Li🐾,,,17A,,,Swimmer Cat🐾,<- 27A Dhalsim🐾,
,Thief Cat🐾,Vega🐾 -> 27B,,,17B,,,Thief Cat🐾,M. Bison🐾 -> 27B,,,17B
18A,,,Surfer Cat🐾,<- 28A Zangief🐾,,,18A,,,Surfer Cat🐾,<- 28A E. Honda🐾,
,Delinquent Cat🐾,Sakura🐾 -> 28B,,,18B,,,Delinquent Cat🐾,Luke🐾 -> 28B,,,18B
19A,,,Fortune Teller Cat🐾,<- 29A Balrog🐾,,,19A,,,Fortune Teller Cat🐾,<- 29A Sagat🐾,
,Vega Cat🐾,Ryu🐾 -> 29B,,,19B,,,Vega Cat🐾,Blanka🐾 -> 29B,,,19B
20A,,,Welterweight Cat🐾,<- 30A Sakura🐾,,,20A,,,Welterweight Cat🐾,<- 30A Luke🐾,
,Stilts Cat🐾,Guile🐾 -> 30B,,,20B,,,Stilts Cat🐾,Ken🐾 -> 30B,,,20B
21A,,,Stilts Cat🐾,<- 31A Guile🐾,,,21A,,,Stilts Cat🐾,<- 31A Ken🐾,
,Sagat Cat🐾,Balrog🐾 -> 31B,,,21B,,,Sagat Cat🐾,Sagat🐾 -> 31B,,,21B
22A,,,Cat Toaster🐾,<- 32A Guile🐾,,,22A,,,Cat Toaster🐾,<- 32A Ken🐾,
,Cammy🐾,Zangief🐾 -> 32B,,,22B,,,Juri🐾,E. Honda🐾 -> 32B,,,22B
23A,,,Wheel Cat🐾,<- 33A Vega🐾,,,23A,,,Wheel Cat🐾,<- 33A M. Bison🐾,
,Pirate Cat🐾,Cammy🐾 -> 33B,,,23B,,,Pirate Cat🐾,Juri🐾 -> 33B,,,23B
24A,,,Sushi Cat🐾,<- 34A Cammy🐾,,,24A,,,Sushi Cat🐾,<- 34A Juri🐾,
,Juliet Cat🐾,Zangief🐾 -> 34B,,,24B,,,Juliet Cat🐾,E. Honda🐾 -> 34B,,,24B
25A,,,Gardener Cat🐾,<- 35A Cammy🐾,,,25A,,,Gardener Cat🐾,<- 35A Juri🐾,
,Vega Cat🐾,Ryu🐾 -> 35B,,,25B,,,Vega Cat🐾,Blanka🐾 -> 35B,,,25B
26A,,,Rover Cat🐾,<- 36A Vega🐾,,,26A,,,Rover Cat🐾,<- 36A M. Bison🐾,
,Witch Cat🐾,Guile🐾 -> 36B,,,26B,,,Witch Cat🐾,Ken🐾 -> 36B,,,26B
27A,,,Salon Cat🐾,<- 37A Chun-Li🐾,,,27A,,,Salon Cat🐾,<- 37A Dhalsim🐾,
,Gardener Cat🐾,Zangief🐾 -> 37B,,,27B,,,Gardener Cat🐾,E. Honda🐾 -> 37B,,,27B
28A,,,Archer Cat🐾,<- 38A Chun-Li🐾,,,28A,,,Archer Cat🐾,<- 38A Dhalsim🐾,
,Cat Toaster🐾,Sakura🐾 -> 38B,,,28B,,,Cat Toaster🐾,Luke🐾 -> 38B,,,28B
29A,,,Ryu🐾,<- 39A Guile🐾,,,29A,,,Blanka🐾,<- 39A Ken🐾,
,Jurassic Cat🐾,Vega🐾 -> 39B,,,29B,,,Jurassic Cat🐾,M. Bison🐾 -> 39B,,,29B
30A,,,Viking Cat🐾,<- 40A Guile🐾,,,30A,,,Viking Cat🐾,<- 40A Ken🐾,
,Weightlifter Cat🐾,Sakura🐾 -> 40B,,,30B,,,Weightlifter Cat🐾,Luke🐾 -> 40B,,,30B
31A,,,Balrog🐾,<- 41A Ryu🐾,,,31A,,,Sagat🐾,<- 41A Blanka🐾,
,Rocker Cat🐾,Ryu🐾 -> 41B,,,31B,,,Rocker Cat🐾,Blanka🐾 -> 41B,,,31B
32A,,,Kotatsu Cat🐾,<- 42A Cammy🐾,,,32A,,,Kotatsu Cat🐾,<- 42A Juri🐾,
,Bishop Cat🐾,Guile🐾 -> 42B,,,32B,,,Bishop Cat🐾,Ken🐾 -> 42B,,,32B
33A,,,Matador Cat🐾,<- 43A Ryu🐾,,,33A,,,Matador Cat🐾,<- 43A Blanka🐾,
,Fortune Teller Cat🐾,Guile🐾 -> 43B,,,33B,,,Fortune Teller Cat🐾,Ken🐾 -> 43B,,,33B
34A,,,Fencer Cat🐾,<- 44A Cammy🐾,,,34A,,,Fencer Cat🐾,<- 44A Juri🐾,
,Pirate Cat🐾,Guile🐾 -> 44B,,,34B,,,Pirate Cat🐾,Ken🐾 -> 44B,,,34B
35A,,,Nerd Cat🐾,<- 45A Ryu🐾,,,35A,,,Nerd Cat🐾,<- 45A Blanka🐾,
,Thief Cat🐾,Cammy🐾 -> 45B,,,35B,,,Thief Cat🐾,Juri🐾 -> 45B,,,35B
36A,,,Balrog Cat🐾,<- 46A Ryu🐾,,,36A,,,Balrog Cat🐾,<- 46A Blanka🐾,
,Archer Cat🐾,Cammy🐾 -> 46B,,,36B,,,Archer Cat🐾,Juri🐾 -> 46B,,,36B
37A,,,Bath Cat🐾,<- 47A Cammy🐾,,,37A,,,Bath Cat🐾,<- 47A Juri🐾,
,Balrog Cat🐾,Cammy🐾 -> 47B,,,37B,,,Balrog Cat🐾,Juri🐾 -> 47B,,,37B
38A,,,Weightlifter Cat🐾,<- 48A Sakura🐾,,,38A,,,Weightlifter Cat🐾,<- 48A Luke🐾,
,Weightlifter Cat🐾,Chun-Li🐾 -> 48B,,,38B,,,Weightlifter Cat🐾,Dhalsim🐾 -> 48B,,,38B
39A,,,Mer-Cat🐾,<- 49A Sakura🐾,,,39A,,,Mer-Cat🐾,<- 49A Luke🐾,
,Hip Hop Cat🐾,Balrog🐾 -> 49B,,,39B,,,Hip Hop Cat🐾,Sagat🐾 -> 49B,,,39B
