,No,Result,Guaranteed
0,1A,Bath Cat🐾,Zangief🐾 -> 11B
1,1B,Mer-Cat🐾,<- 12A Vega🐾
2,2A,Matador Cat🐾,Balrog🐾 -> 12B
3,2B,Rover Cat🐾,<- 13A Zangief🐾
4,3A,Sushi Cat🐾,Zangief🐾 -> 13B
5,3B,Salon Cat🐾,<- 14A Vega🐾
6,4A,Psychocat🐾,Zangief🐾 -> 14B
7,4B,Pirate Cat🐾,<- 15A Ryu🐾
8,5A,Bath Cat🐾,Vega🐾 -> 15B
9,5B,Viking Cat🐾,<- 16A Vega🐾
10,6A,Mer-Cat🐾,Guile🐾 -> 16B
11,6B,Gardener Cat🐾,<- 17A Guile🐾
12,7A,Guile🐾,Chun-Li🐾 -> 17B
13,7B,Swordsman Cat🐾,<- 18A Ryu🐾
14,8A,Zangief Cat🐾,Chun-Li🐾 -> 18B
15,8B,Welterweight Cat🐾,<- 19A Chun-Li🐾
16,9A,Pogo Cat🐾,Cammy🐾 -> 19B
17,9B,Surfer Cat🐾,<- 20A Sakura🐾
18,10A,Onmyoji Cat🐾,Balrog🐾 -> 20B
19,10B,Figure Skating Cats🐾,<- 21A Chun-Li🐾
20,11A,Swimmer Cat🐾,Cammy🐾 -> 21B
21,11B,Balrog🐾,<- 22A Zangief🐾
22,12A,Stilts Cat🐾,Balrog🐾 -> 22B
23,12B,Zangief🐾,<- 23A Cammy🐾
24,13A,Delinquent Cat🐾,Zangief🐾 -> 23B
25,13B,Pirate Cat🐾,<- 24A Chun-Li🐾
26,14A,Welterweight Cat🐾,Balrog🐾 -> 24B
27,14B,M. Bison Cat🐾,<- 25A Chun-Li🐾
28,15A,Balrog Cat🐾,Chun-Li🐾 -> 25B
29,15B,Salon Cat🐾,<- 26A Balrog🐾
30,16A,Apple Cat🐾,Ryu🐾 -> 26B
31,16B,Swimmer Cat🐾,<- 27A Chun-Li🐾
32,17A,Thief Cat🐾,Vega🐾 -> 27B
33,17B,Surfer Cat🐾,<- 28A Zangief🐾
34,18A,Delinquent Cat🐾,Sakura🐾 -> 28B
35,18B,Fortune Teller Cat🐾,<- 29A Balrog🐾
36,19A,Vega Cat🐾,Ryu🐾 -> 29B
37,19B,Welterweight Cat🐾,<- 30A Sakura🐾
38,20A,Stilts Cat🐾,Guile🐾 -> 30B
39,20B,Stilts Cat🐾,<- 31A Guile🐾
40,21A,Sagat Cat🐾,Balrog🐾 -> 31B
41,21B,Cat Toaster🐾,<- 32A Guile🐾
42,22A,Cammy🐾,Zangief🐾 -> 32B
43,22B,Wheel Cat🐾,<- 33A Vega🐾
44,23A,Pirate Cat🐾,Cammy🐾 -> 33B
45,23B,Sushi Cat🐾,<- 34A Cammy🐾
46,24A,Juliet Cat🐾,Zangief🐾 -> 34B
47,24B,Gardener Cat🐾,<- 35A Cammy🐾
48,25A,Vega Cat🐾,Ryu🐾 -> 35B
49,25B,Rover Cat🐾,<- 36A Vega🐾
50,26A,Witch Cat🐾,Guile🐾 -> 36B
51,26B,Salon Cat🐾,<- 37A Chun-Li🐾
52,27A,Gardener Cat🐾,Zangief🐾 -> 37B
53,27B,Archer Cat🐾,<- 38A Chun-Li🐾
54,28A,Cat Toaster🐾,Sakura🐾 -> 38B
